Time [s],Value,Parity Error,Framing Error
3.493655750000000,:,,
3.493742458333333,' ',,
3.493829125000000,2,,
3.493915791666667,3,,
3.494002500000000,9,,
3.494089166666666,7,,
3.494175833333333,7,,
3.494262541666667,6,,
3.494349208333333,\r,,
3.494435875000000,\n,,
3.494543250000000,[,,
3.494629916666667,' ',,
3.494716583333333,' ',,
3.494803291666666,' ',,
3.494889958333333,' ',,
3.494976625000000,0,,
3.495063333333333,.,,
3.495150000000000,0,,
3.495236666666667,0,,
3.495323375000000,0,,
3.495410041666667,0,,
3.495496708333333,0,,
3.495583416666667,0,,
3.495670083333333,],,
3.495756750000000,' ',,
3.495843458333333,K,,
3.495930125000000,e,,
3.496016791666666,r,,
3.496103500000000,n,,
3.496190166666667,e,,
3.496276833333333,l,,
3.496363541666667,' ',,
3.496450208333334,c,,
3.496536916666667,o,,
3.496623583333333,m,,
3.496710250000000,m,,
3.496796958333333,a,,
3.496883625000000,n,,
3.496970291666667,d,,
3.497057000000000,' ',,
3.497143666666667,l,,
3.497230333333333,i,,
3.497317041666667,n,,
3.497403708333333,e,,
3.497490375000000,:,,
3.497577083333333,' ',,
3.497663750000000,d,,
3.497750416666667,m,,
3.497837125000000,a,,
3.497923791666667,.,,
3.498010458333333,d,,
3.498097166666667,m,,
3.498183833333333,a,,
3.498270500000000,c,,
3.498357208333333,h,,
3.498443875000000,a,,
3.498530541666667,n,,
3.498617250000000,s,,
3.498703916666666,=,,
3.498790583333333,0,,
3.498877291666667,x,,
3.498963958333333,7,,
3.499050625000000,f,,
3.499137333333334,3,,
3.499224000000000,5,,
3.499310666666667,' ',,
3.499397375000000,b,,
3.499484041666667,c,,
3.499570708333333,m,,
3.499657416666667,2,,
3.499744083333333,7,,
3.499830750000000,0,,
3.499917458333333,8,,
3.500004125000000,_,,
3.500090791666667,f,,
3.500177500000000,b,,
3.500264166666667,.,,
3.500350833333334,f,,
3.500437541666667,b,,
3.500524208333333,w,,
3.500610875000000,i,,
3.500697583333333,d,,
3.500784250000000,t,,
3.500870916666666,h,,
3.500957625000000,=,,
3.501044291666667,6,,
3.501130958333333,5,,
3.501217666666667,6,,
3.501304333333333,' ',,
3.501391000000000,b,,
3.501477708333333,c,,
3.501564375000000,m,,
3.501651041666667,2,,
3.501737750000000,7,,
3.501824416666667,0,,
3.501911083333333,8,,
3.501997791666667,_,,
3.502084458333333,f,,
3.502171125000000,b,,
3.502257833333333,.,,
3.502344500000000,f,,
3.502431208333333,b,,
3.502517875000000,h,,
3.502604541666666,e,,
3.502691250000000,i,,
3.502777916666667,g,,
3.502864583333333,h,,
3.502951291666667,t,,
3.503037958333334,=,,
3.503124625000000,4,,
3.503211333333333,1,,
3.503298000000000,6,,
3.503384666666667,' ',,
3.503471375000000,b,,
3.503558041666667,c,,
3.503644708333333,m,,
3.503731416666667,2,,
3.503818083333333,7,,
3.503904750000000,0,,
3.503991458333333,8,,
3.504078125000000,.,,
3.504164791666667,b,,
3.504251500000000,o,,
3.504338166666667,a,,
3.504424833333333,r,,
3.504511541666667,d,,
3.504598208333333,r,,
3.504684875000000,e,,
3.504771583333333,v,,
3.504858250000000,=,,
3.504944916666667,0,,
3.505031625000000,x,,
3.505118291666667,1,,
3.505204958333333,0,,
3.505291666666666,' ',,
3.505378333333333,b,,
3.505465000000000,c,,
3.505551708333333,m,,
3.505638375000000,2,,
